Weekday,Date,Cumulative Supply,Supply Increase,Supply Increase: Pfizer,Supply Increase: Moderna,Supply Increase: AstraZeneca,Supply Increase: J&J,Cumulative Vaccines Administered S1,Cumulative Vaccines Administered S2,Cumulative Vaccines Administered S3,Remaining Supply S1,Remaining Supply S2,Remaining Supply S3,Daily Administrations S1,Daily Administrations S2,Daily Administrations S3,Daily Admin./ Supply % S1,Daily Admin./ Supply % S2,Daily Admin./ Supply % S3,DoD % Change S1,DoD % Change S2,DoD % Change S2,WoW % Change S1,WoW % Change S2,WoW % Change S2
Sat,23-Jan,"411,650",0,,,,,"276,146","276,146","276,146","135,504","135,504","135,504","4,427","4,427","4,427",3.3%,3.3%,3.3%,-60.3%,-60.3%,-60.3%,-59.8%,-59.8%,-59.8%
Sun,24-Jan,"411,650",0,,,,,"280,573","280,573","280,573","131,077","131,077","131,077","5,537","5,537","5,537",4.2%,4.2%,4.2%,25.1%,25.1%,25.1%,-42.9%,-42.9%,-42.9%
Mon,25-Jan,"411,650",0,,,,,"286,110","286,110","286,110","125,540","125,540","125,540","9,707","9,707","9,707",7.7%,7.7%,7.7%,75.3%,75.3%,75.3%,-32.3%,-32.3%,-32.3%
Tue,26-Jan,"411,650",0,,,,,"295,817","295,817","295,817","115,833","115,833","115,833","9,513","9,513","9,513",8.2%,8.2%,8.2%,-2.0%,-2.0%,-2.0%,-31.0%,-31.0%,-31.0%
Wed,27-Jan,"411,650",0,,,,,"305,330","305,330","305,330","106,320","106,320","106,320","11,910","11,910","11,910",11.2%,11.2%,11.2%,25.2%,25.2%,25.2%,-25.1%,-25.1%,-25.1%
Thu,28-Jan,"411,650",0,,,,,"317,240","317,240","317,240","94,410","94,410","94,410","10,215","10,215","10,215",10.8%,10.8%,10.8%,-14.2%,-14.2%,-14.2%,-8.5%,-8.5%,-8.5%
Fri,29-Jan,"411,650",0,,,,,"327,455","327,455","327,455","84,195","84,195","84,195","9,373","9,373","9,373",11.1%,11.1%,11.1%,-8.2%,-8.2%,-8.2%,-16.0%,-16.0%,-16.0%
Sat,30-Jan,"411,650",0,,,,,"336,828","336,828","336,828","74,822","74,822","74,822","2,816","2,816","2,816",3.8%,3.8%,3.8%,-70.0%,-70.0%,-70.0%,-36.4%,-36.4%,-36.4%
Sun,31-Jan,"411,650",0,,,,,"339,644","339,644","339,644","72,006","72,006","72,006","2,256","2,256","2,256",3.1%,3.1%,3.1%,-19.9%,-19.9%,-19.9%,-59.3%,-59.3%,-59.3%
Mon,01-Feb,"411,650",0,,,,,"341,900","341,900","341,900","69,750","69,750","69,750","2,715","2,715","2,715",3.9%,3.9%,3.9%,20.3%,20.3%,20.3%,-72.0%,-72.0%,-72.0%
Tue,02-Feb,"411,650",0,,,,,"344,615","344,615","344,615","67,035","67,035","67,035","3,716","3,716","3,716",5.5%,5.5%,5.5%,36.9%,36.9%,36.9%,-60.9%,-60.9%,-60.9%
Wed,03-Feb,"411,650",0,,,,,"348,331","348,331","348,331","63,319","63,319","63,319","6,724","6,724","6,724",10.6%,10.6%,10.6%,80.9%,80.9%,80.9%,-43.5%,-43.5%,-43.5%
Thu,04-Feb,"411,650","26,325",,,,,"355,055","355,055","355,055","56,595","56,595","56,595","7,694","7,694","7,694",13.6%,13.6%,13.6%,14.4%,14.4%,14.4%,-24.7%,-24.7%,-24.7%
Fri,05-Feb,"437,975",0,,,,,"362,749","362,749","362,749","75,226","75,226","75,226","9,917","9,917","9,917",13.2%,13.2%,13.2%,28.9%,28.9%,28.9%,5.8%,5.8%,5.8%
Sat,06-Feb,"437,975",0,,,,,"372,666","372,666","372,666","65,309","65,309","65,309","6,518","6,518","6,518",10.0%,10.0%,10.0%,-34.3%,-34.3%,-34.3%,131.5%,131.5%,131.5%
Sun,07-Feb,"437,975",0,,,,,"379,184","379,184","379,184","58,791","58,791","58,791","6,987","6,987","6,987",11.9%,11.9%,11.9%,7.2%,7.2%,7.2%,209.7%,209.7%,209.7%
Mon,08-Feb,"437,975",0,,,,,"386,171","386,171","386,171","51,804","51,804","51,804","12,462","12,462","12,462",24.1%,24.1%,24.1%,78.4%,78.4%,78.4%,359.0%,359.0%,359.0%
Tue,09-Feb,"437,975","27,300",,,,,"398,633","398,633","398,633","39,342","39,342","39,342","13,486","13,486","13,486",34.3%,34.3%,34.3%,8.2%,8.2%,8.2%,262.9%,262.9%,262.9%
Wed,10-Feb,"465,275","58,400",,,,,"412,119","412,119","412,119","53,156","53,156","53,156","14,717","14,717","14,717",27.7%,27.7%,27.7%,9.1%,9.1%,9.1%,118.9%,118.9%,118.9%
Thu,11-Feb,"523,675",0,,,,,"426,836","426,836","426,836","96,839","96,839","96,839","15,605","15,605","15,605",16.1%,16.1%,16.1%,6.0%,6.0%,6.0%,102.8%,102.8%,102.8%
Fri,12-Feb,"523,675",0,,,,,"442,441","442,441","442,441","81,234","81,234","81,234","14,506","14,506","14,506",17.9%,17.9%,17.9%,-7.0%,-7.0%,-7.0%,46.3%,46.3%,46.3%
Sat,13-Feb,"523,675",0,,,,,"456,947","456,947","456,947","66,728","66,728","66,728","10,679","10,679","10,679",16.0%,16.0%,16.0%,-26.4%,-26.4%,-26.4%,63.8%,63.8%,63.8%
Sun,14-Feb,"523,675",0,,,,,"467,626","467,626","467,626","56,049","56,049","56,049","7,698","7,698","7,698",13.7%,13.7%,13.7%,-27.9%,-27.9%,-27.9%,10.2%,10.2%,10.2%
Mon,15-Feb,"523,675",0,,,,,"475,324","475,324","475,324","48,351","48,351","48,351","5,053","5,053","5,053",10.5%,10.5%,10.5%,-34.4%,-34.4%,-34.4%,-59.5%,-59.5%,-59.5%
Tue,16-Feb,"523,675",0,,,,,"480,377","480,377","480,377","43,298","43,298","43,298","9,107","9,107","9,107",21.0%,21.0%,21.0%,80.2%,80.2%,80.2%,-32.5%,-32.5%,-32.5%
Wed,17-Feb,"523,675","156,780",,,,,"489,484","489,484","489,484","34,191","34,191","34,191","12,383","12,383","12,383",36.2%,36.2%,36.2%,36.0%,36.0%,36.0%,-15.9%,-15.9%,-15.9%
Thu,18-Feb,"680,455","2,800",,,,,"501,867","501,867","501,867","178,588","178,588","178,588","16,967","16,967","16,967",9.5%,9.5%,9.5%,37.0%,37.0%,37.0%,8.7%,8.7%,8.7%
Fri,19-Feb,"683,255",0,,,,,"518,834","518,834","518,834","164,421","164,421","164,421","21,295","21,295","21,295",13.0%,13.0%,13.0%,25.5%,25.5%,25.5%,46.8%,46.8%,46.8%
Sat,20-Feb,"683,255",0,,,,,"540,129","540,129","540,129","143,126","143,126","143,126","16,404","16,404","16,404",11.5%,11.5%,11.5%,-23.0%,-23.0%,-23.0%,53.6%,53.6%,53.6%
Sun,21-Feb,"683,255",0,,,,,"556,533","556,533","556,533","126,722","126,722","126,722","12,922","12,922","12,922",10.2%,10.2%,10.2%,-21.2%,-21.2%,-21.2%,67.9%,67.9%,67.9%
Mon,22-Feb,"683,255",0,,,,,"569,455","569,455","569,455","113,800","113,800","113,800","16,252","16,252","16,252",14.3%,14.3%,14.3%,25.8%,25.8%,25.8%,,,221.6%
Tue,23-Feb,"683,255",0,,,,,"585,707","585,707","585,707","97,548","97,548","97,548","17,141","17,141","17,141",17.6%,17.6%,17.6%,5.5%,5.5%,5.5%,88.2%,88.2%,88.2%
Wed,24-Feb,"683,255",0,,,,,"602,848","602,848","602,848","80,407","80,407","80,407","19,112","19,112","19,112",23.8%,23.8%,,11.5%,11.5%,11.5%,54.3%,54.3%,54.3%
Thu,25-Feb,"683,255","220,030",,,,,"621,960","621,960","621,960","61,295","61,295","61,295","21,805","21,805","21,805",35.6%,35.6%,,14.1%,14.1%,14.1%,28.5%,28.5%,28.5%
Fri,26-Feb,"903,285",0,,,,,"643,765","643,765","643,765","259,520","259,520","259,520","24,339","24,339","24,339",9.4%,9.4%,9.4%,11.6%,11.6%,11.6%,14.3%,14.3%,14.3%
Sat,27-Feb,"903,285",0,,,,,"668,104","668,104","668,104","235,181","235,181","235,181","19,167","19,167","19,167",8.1%,8.1%,8.1%,-21.2%,-21.2%,-21.2%,16.8%,16.8%,16.8%
Sun,28-Feb,"903,285",0,,,,,"687,271","687,271","687,271","216,014","216,014","216,014","17,424","17,424","17,424",8.1%,8.1%,8.1%,-9.1%,-9.1%,-9.1%,34.8%,34.8%,34.8%
Mon,01-Mar,"903,285",0,,,,,"704,695","704,695","704,695","198,590","198,590","198,590","22,326","22,326","22,326",11.2%,11.2%,11.2%,28.1%,28.1%,28.1%,37.4%,37.4%,37.4%
Tue,02-Mar,"903,285","173,160",,,,,"727,021","727,021","727,021","176,264","176,264","176,264","27,398","27,398","27,398",15.5%,15.5%,15.5%,22.7%,22.7%,22.7%,59.8%,59.8%,59.8%
Wed,03-Mar,"1,076,445",0,,,,,"754,419","754,419","754,419","322,026","322,026","322,026","30,409","30,409","30,409",9.4%,9.4%,9.4%,11.0%,11.0%,11.0%,59.1%,59.1%,59.1%
Thu,04-Mar,"1,076,445",0,,,,,"784,828","784,828","784,828","291,617","291,617","291,617","35,886","35,886","35,886",12.3%,12.3%,12.3%,18.0%,18.0%,18.0%,64.6%,64.6%,64.6%
Fri,05-Mar,"1,076,445",0,,,,,"820,714","820,714","820,714","255,731","255,731","255,731","42,548","36,063","29,962",16.6%,14.1%,11.7%,18.6%,0.5%,-16.5%,74.8%,48.2%,23.1%
Sat,06-Mar,"1,076,445",0,,,,,"863,262","856,777","850,676","213,183","219,668","225,769","33,141","28,420","26,219",15.5%,12.9%,11.6%,-22.1%,-21.2%,-12.5%,72.9%,48.3%,36.8%
Sun,07-Mar,"1,076,445",0,,,,,"896,403","885,197","876,894","180,042","191,248","199,551","28,117","25,764","23,199",15.6%,13.5%,11.6%,-15.2%,-9.3%,-11.5%,61.4%,47.9%,33.1%
Mon,08-Mar,"1,076,445","173,160","173,160",,,,"924,520","910,962","900,093","151,925","165,483","176,352","35,695","32,669","20,712",23.5%,19.7%,11.7%,27.0%,26.8%,-10.7%,59.9%,46.3%,-7.2%
Tue,09-Mar,"1,249,605",0,,,,,"960,215","943,631","920,806","289,390","305,974","328,799","40,726","40,091","37,922",14.1%,13.1%,11.5%,14.1%,22.7%,83.1%,48.6%,46.3%,38.4%
Wed,10-Mar,"1,249,605",0,,,,,"1,000,941","983,722","958,727","248,664","265,883","290,878","45,305","43,587","32,084",18.2%,16.4%,11.0%,11.2%,8.7%,-15.4%,49.0%,43.3%,5.5%
Thu,11-Mar,"1,249,605",0,,,,,"1,046,247","1,027,309","990,812","203,358","222,296","258,793","52,577","51,155","28,545",25.9%,23.0%,11.0%,16.1%,17.4%,-11.0%,46.5%,42.5%,-20.5%
Fri,12-Mar,"1,249,605","355,000",,"160,500","194,500",,"1,098,824","1,078,464","1,019,357","150,781","171,141","230,248","60,513","51,770","25,397",40.1%,30.2%,11.0%,15.1%,1.2%,-11.0%,42.2%,43.6%,-15.2%
Sat,13-Mar,"1,604,605",0,,,,,"1,159,336","1,130,234","1,044,754","445,269","474,371","559,851","47,394","41,392","62,413",10.6%,8.7%,11.1%,-21.7%,-20.0%,145.8%,43.0%,45.6%,138.0%
Sun,14-Mar,"1,604,605",0,,,,,"1,206,730","1,171,625","1,107,167","397,875","432,980","497,438","41,646","38,053","56,521",10.5%,8.8%,11.4%,-12.1%,-8.1%,-9.4%,48.1%,47.7%,143.6%
Mon,15-Mar,"1,604,605","174,330","174,330",,,,"1,248,376","1,209,679","1,163,688","356,229","394,926","440,917","53,117","48,552","51,137",14.9%,12.3%,11.6%,27.5%,27.6%,-9.5%,48.8%,48.6%,146.9%
Tue,16-Mar,"1,778,935",0,,,,,"1,301,493","1,258,231","1,214,824","477,442","520,704","564,111","62,894","59,904","65,568",13.2%,11.5%,11.6%,18.4%,23.4%,28.2%,54.4%,49.4%,72.9%
Wed,17-Mar,"1,778,935",0,,,,,"1,364,387","1,318,135","1,280,392","414,548","460,800","498,543","69,886","64,804","56,550",16.9%,14.1%,11.3%,11.1%,8.2%,-13.8%,54.3%,48.7%,76.3%
Thu,18-Mar,"1,778,935",0,,,,,"1,434,273","1,382,939","1,336,942","344,662","395,996","441,993","81,788","75,675","50,736",23.7%,19.1%,11.5%,17.0%,16.8%,-10.3%,55.6%,47.9%,77.7%
Fri,19-Mar,"1,778,935",0,,,,,"1,516,060","1,458,614","1,387,678","262,875","320,321","391,257","95,552","75,968","44,681",36.3%,23.7%,11.4%,16.8%,0.4%,-11.9%,57.9%,46.7%,75.9%
Sat,20-Mar,"1,778,935",0,,,,,"1,611,612","1,534,582","1,432,359","167,323","244,353","346,576","74,632","60,697","39,505",44.6%,24.8%,11.4%,-21.9%,-20.1%,-11.6%,57.5%,46.6%,-36.7%
Sun,21-Mar,"1,778,935",0,,,,,"1,686,244","1,595,279","1,471,864","92,691","183,656","307,071","64,449","55,757","34,955",69.5%,30.4%,11.4%,-13.6%,-8.1%,-11.5%,54.8%,46.5%,-38.2%
Mon,22-Mar,"1,778,935","174,330","174,330",,,,"1,750,693","1,651,036","1,506,819","28,242","127,899","272,116","28,242","71,094","30,929",100.0%,55.6%,11.4%,-56.2%,27.5%,-11.5%,-46.8%,46.4%,-39.5%
Tue,23-Mar,"1,953,265",0,,,,,"1,778,935","1,722,130","1,537,747","174,330","231,135","415,518","32,832","87,721","47,115",18.8%,38.0%,11.3%,16.2%,23.4%,52.3%,-47.8%,46.4%,-28.1%
Wed,24-Mar,"1,953,265",0,,,,,"1,811,767","1,809,851","1,584,863","141,498","143,414","368,402","36,502","94,900","41,722",25.8%,66.2%,11.3%,11.2%,8.2%,-11.4%,-47.8%,46.4%,-26.2%
Thu,25-Mar,"1,953,265",0,,,,,"1,848,269","1,904,751","1,626,584","104,996","48,514","326,681","42,540","48,514","37,066",40.5%,100.0%,11.3%,16.5%,-48.9%,-11.2%,-48.0%,-35.9%,-26.9%
Fri,26-Mar,"1,953,265","323,200",,"323,200",,,"1,890,809","1,953,265","1,663,650","62,456",0,"289,615","49,330",0,"32,925",79.0%,,11.4%,16.0%,-100.0%,-11.2%,-48.4%,-100.0%,-26.3%
Sat,27-Mar,"2,276,465",0,,,,,"1,940,139","1,953,265","1,696,575","336,326","323,200","579,890","38,583","79,396","66,066",11.5%,24.6%,11.4%,-21.8%,,100.7%,-48.3%,30.8%,67.2%
Sun,28-Mar,"2,276,465",0,,,,,"1,978,722","2,032,661","1,762,641","297,743","243,804","513,824","33,611","72,344","58,629",11.3%,29.7%,11.4%,-12.9%,-8.9%,-11.3%,-47.8%,29.7%,67.7%
Mon,29-Mar,"2,276,465","175,500","175,500",,,,"2,012,333","2,105,005","1,821,270","264,132","171,460","455,195","28,799","91,331","51,955",10.9%,53.3%,11.4%,-14.3%,26.2%,-11.4%,2.0%,28.5%,68.0%
Tue,30-Mar,"2,451,965",0,,,,,"2,041,132","2,196,337","1,873,225","410,833","255,628","578,740","33,789","111,428","65,980",8.2%,43.6%,11.4%,17.3%,22.0%,27.0%,2.9%,27.0%,40.0%
Wed,31-Mar,"2,451,965",0,,,,,"2,074,921","2,307,765","1,939,205","377,044","144,200","512,760","37,556","119,030","58,376",10.0%,82.5%,11.4%,11.1%,6.8%,-11.5%,2.9%,25.4%,39.9%
Thu,01-Apr,"2,451,965",0,,,,,"2,112,477","2,426,795","1,997,581","339,488","25,170","454,384","43,860","25,170","51,744",12.9%,100.0%,11.4%,16.8%,-78.9%,-11.4%,3.1%,-48.1%,39.6%
Fri,02-Apr,"2,451,965",0,,,,,"2,156,337","2,451,965","2,049,325","295,628",0,"402,640","51,051",0,"45,825",17.3%,,11.4%,16.4%,-100.0%,-11.4%,3.5%,,39.2%
Sat,03-Apr,"2,451,965",0,,,,,"2,207,388","2,451,965","2,095,150","244,577",0,"356,815","39,901",,"40,600",16.3%,,11.4%,-21.8%,,-11.4%,3.4%,,-38.5%
Sun,04-Apr,"2,451,965",0,,,,,"2,247,289",,"2,135,750","204,676",,"316,215","34,609",,"35,976",16.9%,,11.4%,-13.3%,,-11.4%,3.0%,,-38.6%
Mon,05-Apr,"2,451,965","298,350","298,350",,,,"2,281,897",,"2,171,726","170,068",,"280,239","22,410",,"31,881",13.2%,,11.4%,-35.2%,,-11.4%,-22.2%,,-38.6%
Tue,06-Apr,"2,750,315",0,,,,,"2,304,307",,"2,203,607","446,008",,"546,708","26,172",,"62,200",5.9%,,11.4%,16.8%,,95.1%,-22.5%,,-5.7%
Wed,07-Apr,"2,750,315",0,,,,,"2,330,479",,"2,265,808","419,836",,"484,507","29,094",,"55,137",6.9%,,11.4%,11.2%,,-11.4%,-22.5%,,-5.5%
Thu,08-Apr,"2,750,315",0,,,,,"2,359,572",,"2,320,945","390,743",,"429,370","33,942",,"48,879",8.7%,,11.4%,16.7%,,-11.3%,-22.6%,,-5.5%
Fri,09-Apr,"2,750,315",0,,,,,"2,393,514",,"2,369,824","356,801",,"380,491","39,433",,"43,325",11.1%,,11.4%,16.2%,,-11.4%,-22.8%,,-5.5%
Sat,10-Apr,"2,750,315",0,,,,,"2,432,947",,"2,413,149","317,368",,"337,166","30,831",,"38,396",9.7%,,11.4%,-21.8%,,-11.4%,-22.7%,,-5.4%
Sun,11-Apr,"2,750,315",0,,,,,"2,463,779",,"2,451,545","286,536",,"298,770","26,800",,"34,023",9.4%,,11.4%,-13.1%,,-11.4%,-22.6%,,-5.4%
Mon,12-Apr,"2,750,315","298,350","298,350",,,,"2,490,579",,"2,485,568","259,736",,"264,747","20,158",,"30,144",7.8%,,11.4%,-24.8%,,-11.4%,-10.0%,,-5.4%
Tue,13-Apr,"3,048,665",0,,,,,"2,510,737",,"2,515,712","537,928",,"532,953","23,597",,"60,671",4.4%,,11.4%,17.1%,,101.3%,-9.8%,,-2.5%
Wed,14-Apr,"3,048,665",0,,,,,"2,534,334",,"2,576,383","514,331",,"472,282","26,229",,"53,759",5.1%,,11.4%,11.2%,,-11.4%,-9.8%,,-2.5%
Thu,15-Apr,"3,048,665",0,,,,,"2,560,563",,"2,630,142","488,102",,"418,523","30,616",,"47,639",6.3%,,11.4%,16.7%,,-11.4%,-9.8%,,-2.5%
Fri,16-Apr,"3,048,665",0,,,,,"2,591,179",,"2,677,781","457,486",,"370,884","35,603",,"42,215",7.8%,,11.4%,16.3%,,-11.4%,-9.7%,,-2.6%
Sat,17-Apr,"3,048,665",0,,,,,"2,626,782",,"2,719,996","421,883",,"328,669","27,832",,"37,410",6.6%,,11.4%,-21.8%,,-11.4%,-9.7%,,-2.6%
Sun,18-Apr,"3,048,665",0,,,,,"2,654,614",,"2,757,406","394,051",,"291,259","24,166",,"33,153",6.1%,,11.4%,-13.2%,,-11.4%,-9.8%,,-2.6%
Mon,19-Apr,"3,048,665",0,,,,,"2,678,780",,"2,790,559","369,885",,"258,106","16,913",,"29,380",4.6%,,11.4%,-30.0%,,-11.4%,-16.1%,,-2.5%
Tue,20-Apr,"3,048,665",0,,,,,"2,695,692",,"2,819,939","352,973",,"228,726","19,775",,"26,037",5.6%,,11.4%,16.9%,,-11.4%,-16.2%,,-57.1%
Wed,21-Apr,"3,048,665",0,,,,,"2,715,467",,"2,845,976","333,198",,"202,689","21,982",,"23,074",6.6%,,11.4%,11.2%,,-11.4%,-16.2%,,-57.1%
Thu,22-Apr,"3,048,665",0,,,,,"2,737,449",,"2,869,050","311,216",,"179,615","25,651",,"20,448",8.2%,,11.4%,16.7%,,-11.4%,-16.2%,,-57.1%
Fri,23-Apr,"3,048,665",0,,,,,"2,763,100",,"2,889,498","285,565",,"159,167","29,815",,"18,120",10.4%,,11.4%,16.2%,,-11.4%,-16.3%,,-57.1%
Sat,24-Apr,"3,048,665",0,,,,,"2,792,916",,"2,907,618","255,749",,"141,047","23,309",,"16,057",9.1%,,11.4%,-21.8%,,-11.4%,-16.2%,,-57.1%
Sun,25-Apr,"3,048,665",0,,,,,"2,816,225",,"2,923,675","232,440",,"124,990","20,251",,"14,229",8.7%,,11.4%,-13.1%,,-11.4%,-16.2%,,-57.1%
Mon,26-Apr,"3,048,665",0,,,,,"2,836,476",,"2,937,904","212,189",,"110,761","14,702",,"12,609",6.9%,,11.4%,-27.4%,,-11.4%,-13.1%,,-57.1%
Tue,27-Apr,"3,048,665",0,,,,,"2,851,178",,"2,950,512","197,487",,"98,153","17,200",,"11,173",8.7%,,11.4%,17.0%,,-11.4%,-13.0%,,-57.1%
Wed,28-Apr,"3,048,665",0,,,,,"2,868,378",,"2,961,685","180,287",,"86,980","19,119",,"9,901",10.6%,,11.4%,11.2%,,-11.4%,-13.0%,,-57.1%
Thu,29-Apr,"3,048,665",0,,,,,"2,887,498",,"2,971,586","161,167",,"77,079","22,314",,"8,774",13.8%,,11.4%,16.7%,,-11.4%,-13.0%,,-57.1%
Fri,30-Apr,"3,048,665",0,,,,,"2,909,812",,"2,980,360","138,853",,"68,305","25,942",,"7,775",18.7%,,11.4%,16.3%,,-11.4%,-13.0%,,-57.1%
Sat,01-May,"3,048,665",0,,,,,"2,935,754",,"2,988,136","112,911",,"60,529","20,281",,"6,890",18.0%,,11.4%,-21.8%,,-11.4%,-13.0%,,-57.1%
Sun,02-May,"3,048,665",0,,,,,"2,956,035",,"2,995,026","92,630",,"53,639","17,615",,"6,106",19.0%,,11.4%,-13.1%,,-11.4%,-13.0%,,-57.1%
