Weekday,Date,Cumulative Supply,Supply Increase,Supply Increase: Pfizer,Supply Increase: Moderna,Supply Increase: AstraZeneca,Supply Increase: J&J,Cumulative Vaccines Administered S1,Cumulative Vaccines Administered S2,Cumulative Vaccines Administered S3,Remaining Supply S1,Remaining Supply S2,Remaining Supply S3,Daily Administrations S1,Daily Administrations S2,Daily Administrations S3,Daily Admin./ Supply % S1,Daily Admin./ Supply % S2,Daily Admin./ Supply % S3,DoD % Change S1,DoD % Change S2,DoD % Change S2,WoW % Change S1,WoW % Change S2,WoW % Change S2
Mon,03-May,"3,048,665",0,,,,,"2,973,650",,"3,001,132","75,015",,"47,533","12,558",,"5,411",16.7%,,11.4%,-28.7%,,-11.4%,-14.6%,,-57.1%
Tue,04-May,"3,048,665",0,,,,,"2,986,208",,"3,006,543","62,457",,"42,122","14,687",,"4,795",23.5%,,11.4%,17.0%,,-11.4%,-14.6%,,-57.1%
Wed,05-May,"3,048,665",0,,,,,"3,000,895",,"3,011,338","47,770",,"37,327","16,326",,"4,249",34.2%,,11.4%,11.2%,,-11.4%,-14.6%,,-57.1%
Thu,06-May,"3,048,665",0,,,,,"3,017,221",,"3,015,587","31,444",,"33,078","19,053",,"3,765",60.6%,,11.4%,16.7%,,-11.4%,-14.6%,,-57.1%
Fri,07-May,"3,048,665",0,,,,,"3,036,275",,"3,019,353","12,390",,"29,312","12,390",,"3,337",100.0%,,11.4%,-35.0%,,-11.4%,-52.2%,,-57.1%
Sat,08-May,"3,048,665",0,,,,,"3,048,665",,"3,022,690",0,,"25,975",0,,"2,957",,,11.4%,-100.0%,,-11.4%,-100.0%,,-57.1%
Sun,09-May,"3,048,665",0,,,,,"3,048,665",,"3,025,647",0,,"23,018",0,,"2,620",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Mon,10-May,"3,048,665",0,,,,,"3,048,665",,"3,028,267",0,,"20,398",0,,"2,322",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Tue,11-May,"3,048,665",0,,,,,"3,048,665",,"3,030,589",0,,"18,076",0,,"2,058",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Wed,12-May,"3,048,665",0,,,,,"3,048,665",,"3,032,647",0,,"16,018",0,,"1,823",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Thu,13-May,"3,048,665",0,,,,,"3,048,665",,"3,034,470",0,,"14,195",0,,"1,616",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Fri,14-May,"3,048,665",0,,,,,"3,048,665",,"3,036,086",0,,"12,579",0,,"1,432",,,11.4%,,,-11.4%,-100.0%,,-57.1%
Sat,15-May,"3,048,665",0,,,,,"3,048,665",,"3,037,518",0,,"11,147",0,,"1,269",,,11.4%,,,-11.4%,,,-57.1%
Sun,16-May,"3,048,665",0,,,,,"3,048,665",,"3,038,787",0,,"9,878",,,"1,124",,,11.4%,,,-11.4%,,,-57.1%
Mon,17-May,"3,048,665",0,,,,,,,"3,039,911",,,"8,754",,,996,,,11.4%,,,-11.4%,,,-57.1%
Tue,18-May,"3,048,665",0,,,,,,,"3,040,908",,,"7,757",,,883,,,11.4%,,,-11.4%,,,-57.1%
Wed,19-May,"3,048,665",0,,,,,,,"3,041,791",,,"6,874",,,783,,,11.4%,,,-11.4%,,,-57.1%
Thu,20-May,"3,048,665",0,,,,,,,"3,042,573",,,"6,092",,,693,,,11.4%,,,-11.4%,,,-57.1%
Fri,21-May,"3,048,665",0,,,,,,,"3,043,267",,,"5,398",,,615,,,11.4%,,,-11.4%,,,-57.1%
Sat,22-May,"3,048,665",0,,,,,,,"3,043,881",,,"4,784",,,545,,,11.4%,,,-11.4%,,,-57.1%
Sun,23-May,"3,048,665",0,,,,,,,"3,044,426",,,"4,239",,,483,,,11.4%,,,-11.4%,,,-57.1%
Mon,24-May,"3,048,665",0,,,,,,,"3,044,908",,,"3,757",,,428,,,11.4%,,,-11.4%,,,-57.1%
Tue,25-May,"3,048,665",0,,,,,,,"3,045,336",,,"3,329",,,379,,,11.4%,,,-11.4%,,,-57.1%
Wed,26-May,"3,048,665",0,,,,,,,"3,045,715",,,"2,950",,,336,,,11.4%,,,-11.4%,,,-57.1%
Thu,27-May,"3,048,665",0,,,,,,,"3,046,051",,,"2,614",,,298,,,11.4%,,,-11.4%,,,-57.1%
Fri,28-May,"3,048,665",0,,,,,,,"3,046,348",,,"2,317",,,264,,,11.4%,,,-11.4%,,,-57.1%
Sat,29-May,"3,048,665",0,,,,,,,"3,046,612",,,"2,053",,,234,,,11.4%,,,-11.4%,,,-57.1%
Sun,30-May,"3,048,665",0,,,,,,,"3,046,846",,,"1,819",,,207,,,11.4%,,,-11.4%,,,-57.1%
Mon,31-May,"3,048,665",0,,,,,,,"3,047,053",,,"1,612",,,184,,,11.4%,,,-11.4%,,,-57.1%
Tue,01-Jun,"3,048,665",0,,,,,,,"3,047,236",,,"1,429",,,163,,,11.4%,,,-11.4%,,,-57.1%
Wed,02-Jun,"3,048,665",0,,,,,,,"3,047,399",,,"1,266",,,144,,,11.4%,,,-11.4%,,,-57.1%
Thu,03-Jun,"3,048,665",0,,,,,,,"3,047,543",,,"1,122",,,128,,,11.4%,,,-11.4%,,,-57.1%
Fri,04-Jun,"3,048,665",0,,,,,,,"3,047,671",,,994,,,113,,,11.4%,,,-11.4%,,,-57.1%
Sat,05-Jun,"3,048,665",0,,,,,,,"3,047,784",,,881,,,100,,,11.4%,,,-11.4%,,,-57.1%
Sun,06-Jun,"3,048,665",0,,,,,,,"3,047,884",,,781,,,89,,,11.4%,,,-11.4%,,,-57.1%
Mon,07-Jun,"3,048,665",0,,,,,,,"3,047,973",,,692,,,79,,,11.4%,,,-11.4%,,,-57.1%
Tue,08-Jun,"3,048,665",0,,,,,,,"3,048,052",,,613,,,70,,,11.4%,,,-11.4%,,,-57.1%
Wed,09-Jun,"3,048,665",0,,,,,,,"3,048,122",,,543,,,62,,,11.4%,,,-11.4%,,,-57.1%
Thu,10-Jun,"3,048,665",0,,,,,,,"3,048,184",,,481,,,55,,,11.4%,,,-11.4%,,,-57.1%
Fri,11-Jun,"3,048,665",0,,,,,,,"3,048,238",,,427,,,49,,,11.4%,,,-11.4%,,,-57.1%
Sat,12-Jun,"3,048,665",0,,,,,,,"3,048,287",,,378,,,43,,,11.4%,,,-11.4%,,,-57.1%
Sun,13-Jun,"3,048,665",0,,,,,,,"3,048,330",,,335,,,38,,,11.4%,,,-11.4%,,,-57.1%
Mon,14-Jun,"3,048,665",0,,,,,,,"3,048,368",,,297,,,34,,,11.4%,,,-11.4%,,,-57.1%
Tue,15-Jun,"3,048,665",0,,,,,,,"3,048,402",,,263,,,30,,,11.4%,,,-11.4%,,,-57.1%
Wed,16-Jun,"3,048,665",0,,,,,,,"3,048,432",,,233,,,27,,,11.4%,,,-11.4%,,,-57.1%
Thu,17-Jun,"3,048,665",0,,,,,,,"3,048,458",,,207,,,24,,,11.4%,,,-11.4%,,,-57.1%
Fri,18-Jun,"3,048,665",0,,,,,,,"3,048,482",,,183,,,21,,,11.4%,,,-11.4%,,,-57.1%
Sat,19-Jun,"3,048,665",0,,,,,,,"3,048,503",,,162,,,18,,,11.4%,,,-11.4%,,,-57.1%
Sun,20-Jun,"3,048,665",0,,,,,,,"3,048,521",,,144,,,16,,,11.4%,,,-11.4%,,,-57.1%
Mon,21-Jun,"3,048,665",0,,,,,,,"3,048,538",,,127,,,15,,,11.4%,,,-11.4%,,,-57.1%
Tue,22-Jun,"3,048,665",0,,,,,,,"3,048,552",,,113,,,13,,,11.4%,,,-11.4%,,,-57.1%
Wed,23-Jun,"3,048,665",0,,,,,,,"3,048,565",,,100,,,11,,,11.4%,,,-11.4%,,,-57.1%
Thu,24-Jun,"3,048,665",0,,,,,,,"3,048,576",,,89,,,10,,,11.4%,,,-11.4%,,,-57.1%
Fri,25-Jun,"3,048,665",0,,,,,,,"3,048,586",,,79,,,9,,,11.4%,,,-11.4%,,,-57.1%
Sat,26-Jun,"3,048,665",0,,,,,,,"3,048,595",,,70,,,8,,,11.4%,,,-11.4%,,,-57.1%
Sun,27-Jun,"3,048,665",0,,,,,,,"3,048,603",,,62,,,7,,,11.4%,,,-11.4%,,,-57.1%
Mon,28-Jun,"3,048,665",0,,,,,,,"3,048,610",,,55,,,6,,,11.4%,,,-11.4%,,,-57.1%
Tue,29-Jun,"3,048,665",0,,,,,,,"3,048,617",,,48,,,6,,,11.4%,,,-11.4%,,,-57.1%
Wed,30-Jun,"3,048,665",0,,,,,,,"3,048,622",,,43,,,5,,,11.4%,,,-11.4%,,,-57.1%
Thu,01-Jul,"3,048,665",0,,,,,,,"3,048,627",,,38,,,4,,,11.4%,,,-11.4%,,,-57.1%
